model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
EncoderDecoder,32,2,4,0.005,1,64,11184.786948459663,62.701203960934556
EncoderDecoder,32,2,16,0.005,1,64,10662.62136301904,61.03607790440497
EncoderDecoder,32,2,32,0.005,1,64,10227.41968475293,59.559888024864044
EncoderDecoder,32,16,4,0.005,1,64,8239.241182489279,54.76380586535653
EncoderDecoder,32,16,16,0.005,1,64,8007.533197008414,53.538554996596666
EncoderDecoder,32,16,32,0.005,1,64,7972.115014892403,53.47758923489055
EncoderDecoder,32,30,4,0.005,1,64,9142.65852468435,55.04553201797822
EncoderDecoder,32,30,16,0.005,1,64,8599.5216708639,53.05568678686813
EncoderDecoder,32,30,32,0.005,1,64,8488.305306849792,52.38245968211368
EncoderDecoder,32,2,4,0.005,5,64,11213.606121875866,63.1230960839909
EncoderDecoder,32,2,16,0.005,5,64,10319.153805609765,59.77785438003989
EncoderDecoder,32,2,32,0.005,5,64,10013.432618047174,58.32101381406609
EncoderDecoder,32,16,4,0.005,5,64,8234.557545147718,54.895259944853144
EncoderDecoder,32,16,16,0.005,5,64,8076.612345586718,54.281078394713525
EncoderDecoder,32,16,32,0.005,5,64,8091.594463357646,53.815735911301935
EncoderDecoder,32,30,4,0.005,5,64,23043.820569495238,98.7198574054793
EncoderDecoder,32,30,16,0.005,5,64,23034.49674734642,98.92200863623005
EncoderDecoder,32,30,32,0.005,5,64,23030.351437446447,99.0210866306466
EncoderDecoder,32,2,4,0.005,10,64,24534.39630098548,110.32671844866267
EncoderDecoder,32,2,16,0.005,10,64,24527.392600578358,110.54408817409313
