model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
GRU,0.0005,1,16,16,30,32,8735.600428189573,53.965045069403914
LSTM,0.0005,1,16,16,30,32,8694.285645210362,53.75558858328651
GRU,0.0005,1,16,32,30,32,8581.551080980762,52.45829840031702
LSTM,0.0005,1,16,32,30,32,8599.609735947823,52.467599121675846
GRU,0.0005,1,16,64,30,32,8444.26812000756,52.41514159946049
LSTM,0.0005,1,16,64,30,32,8458.390683549123,52.06459304139554
GRU,0.0005,1,16,128,30,32,8375.582590401398,52.05579513265831
LSTM,0.0005,1,16,128,30,32,8497.855758051548,51.766011616624546
GRU,0.0005,1,32,16,30,32,8719.864315876543,53.68917360265994
LSTM,0.0005,1,32,16,30,32,8645.354351368856,53.02076145745372
GRU,0.0005,1,32,32,30,32,8562.72996969998,52.68929530916265
LSTM,0.0005,1,32,32,30,32,8453.759114162931,52.0362330453318
GRU,0.0005,1,32,64,30,32,8389.017576960809,51.822873672433815
LSTM,0.0005,1,32,64,30,32,8324.772969107018,51.55107384523861
GRU,0.0005,1,32,128,30,32,8349.774479305723,51.51965895613043
LSTM,0.0005,1,32,128,30,32,8344.540478641746,51.73709311836152
GRU,0.0005,1,64,16,30,32,8664.843381678966,53.3047774337808
LSTM,0.0005,1,64,16,30,32,8508.142066026336,52.75177230668215
GRU,0.0005,1,64,32,30,32,8546.634159323854,52.61365807124799
LSTM,0.0005,1,64,32,30,32,8501.88089764779,52.02536104726384
GRU,0.0005,1,64,64,30,32,8414.077635360527,51.70651417280066
LSTM,0.0005,1,64,64,30,32,8322.09153371925,51.59193097528965
GRU,0.0005,1,64,128,30,32,8353.268528493194,51.886566847284485
LSTM,0.0005,1,64,128,30,32,8260.499871502381,50.97490717514405
GRU,0.0005,1,128,16,30,32,8621.152098978771,53.209895537434704
LSTM,0.0005,1,128,16,30,32,8479.880925782414,52.292591277128246
GRU,0.0005,1,128,32,30,32,8517.519137074216,52.29866803575568
LSTM,0.0005,1,128,32,30,32,8414.742824312661,52.032324237344724
GRU,0.0005,1,128,64,30,32,8423.327604703489,51.8895238577084
LSTM,0.0005,1,128,64,30,32,8320.541231873542,51.68108582476747
GRU,0.0005,1,128,128,30,32,8270.565344653025,51.88275426779609
LSTM,0.0005,1,128,128,30,32,8312.564501050876,52.24156680653779
GRU,0.0005,2,32_16,16,30,32,8890.475585743468,54.1098782071531
LSTM,0.0005,2,32_16,16,30,32,8821.761172453214,54.14561387841548
GRU,0.0005,2,32_16,32,30,32,8815.89412407408,53.70731603545506
LSTM,0.0005,2,32_16,32,30,32,8757.986480003461,53.660970428828584
GRU,0.0005,2,32_16,64,30,32,8623.670315953768,52.47336456341272
LSTM,0.0005,2,32_16,64,30,32,8658.298505401459,53.48277778365263
GRU,0.0005,2,32_16,128,30,32,8739.808713807231,53.329852012362934
LSTM,0.0005,2,32_16,128,30,32,8569.016682958878,52.56129740409263
GRU,0.0005,2,64_32,16,30,32,8605.740803422024,53.75782226303791
LSTM,0.0005,2,64_32,16,30,32,8603.58221853928,52.768064554862384
GRU,0.0005,2,64_32,32,30,32,8389.141171054245,51.82307014265742
LSTM,0.0005,2,64_32,32,30,32,8319.233185147945,51.611350170256515
GRU,0.0005,2,64_32,64,30,32,8363.228996945356,51.5331089209007
LSTM,0.0005,2,64_32,64,30,32,8432.554685753714,51.57560445218459
GRU,0.0005,2,64_32,128,30,32,8421.114002903105,52.276218419207964
LSTM,0.0005,2,64_32,128,30,32,8574.531257373212,51.857071273928014
GRU,0.0005,2,128_64,16,30,32,8576.198462607726,53.436808635272826
LSTM,0.0005,2,128_64,16,30,32,8519.531282694374,52.121670721609775
GRU,0.0005,2,128_64,32,30,32,8386.40571005776,51.57922439277073
LSTM,0.0005,2,128_64,32,30,32,8371.77737557123,51.538942990099976
GRU,0.0005,2,128_64,64,30,32,8359.838554068538,51.57919574153684
LSTM,0.0005,2,128_64,64,30,32,8303.527806030977,51.519241318657535
GRU,0.0005,2,128_64,128,30,32,8401.2179961376,51.42404019215366
LSTM,0.0005,2,128_64,128,30,32,8384.916112689452,51.34918134388556
GRU,0.0005,2,256_128,16,30,32,8516.536378966206,52.94095687214385
