model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
GRU,32,2,4,0.001,1,64,11806.223015878584,63.99276155142934
LSTM,32,2,4,0.001,1,64,11811.364453295315,63.825029237958944
GRU,32,2,16,0.001,1,64,11809.817010137227,63.80517038832538
LSTM,32,2,16,0.001,1,64,11809.200964965341,64.01945792658887
GRU,32,2,32,0.001,1,64,11807.302968146307,64.01364682931391
LSTM,32,2,32,0.001,1,64,11807.476201681988,63.986764029161755
GRU,32,16,4,0.001,1,64,8609.934983155865,56.59758524843661
LSTM,32,16,4,0.001,1,64,8595.917780198854,56.19836566007452
GRU,32,16,16,0.001,1,64,8596.326063571361,56.428982617189675
LSTM,32,16,16,0.001,1,64,8584.199038964216,56.16281492245529
GRU,32,16,32,0.001,1,64,8585.993460115682,56.4431090475405
LSTM,32,16,32,0.001,1,64,8585.779748456738,56.47070034933805
GRU,32,30,4,0.001,1,64,9652.491425827817,57.468092011991686
LSTM,32,30,4,0.001,1,64,9668.355454585671,57.64132095358136
GRU,32,30,16,0.001,1,64,9582.215778644151,57.43164054091952
LSTM,32,30,16,0.001,1,64,9546.752761946931,56.88843185755265
GRU,32,30,32,0.001,1,64,9608.540884750491,57.40132404855169
LSTM,32,30,32,0.001,1,64,9534.0178434151,56.86609642068726
GRU,64,2,4,0.001,1,64,11809.893032968035,64.11267363366038
LSTM,64,2,4,0.001,1,64,11805.371247413063,64.00691186076129
GRU,64,2,16,0.001,1,64,11807.869990714682,63.89145133466473
LSTM,64,2,16,0.001,1,64,11808.95139785717,64.10185346858935
GRU,64,2,32,0.001,1,64,11809.807944326634,64.0433127459294
LSTM,64,2,32,0.001,1,64,11807.225206560699,64.05479663527692
GRU,64,16,4,0.001,1,64,8612.544396162339,56.5447894862173
LSTM,64,16,4,0.001,1,64,8601.077499191426,56.30530128451775
GRU,64,16,16,0.001,1,64,8577.727732911202,56.32746166852778
LSTM,64,16,16,0.001,1,64,8584.111481475285,56.374305893913665
GRU,64,16,32,0.001,1,64,8598.981518781227,56.553260155187004
LSTM,64,16,32,0.001,1,64,8579.920739441135,56.07054967669229
GRU,64,30,4,0.001,1,64,9695.060110400265,57.41288792148901
LSTM,64,30,4,0.001,1,64,9685.203002565877,57.38174445146409
GRU,64,30,16,0.001,1,64,9569.364409157373,57.04595339379885
LSTM,64,30,16,0.001,1,64,9542.630326272383,57.199287217386086
GRU,64,30,32,0.001,1,64,9600.289180859452,57.34953632199359
LSTM,64,30,32,0.001,1,64,9477.563763535665,56.70431946677967
GRU,128,2,4,0.001,1,64,11814.152751649946,63.974108572353245
LSTM,128,2,4,0.001,1,64,11812.03280519404,63.84070224667412
GRU,128,2,16,0.001,1,64,11809.204047376392,63.92411643183799
LSTM,128,2,16,0.001,1,64,11808.784172583326,63.79446969082411
GRU,128,2,32,0.001,1,64,11811.098886679134,63.97801166597084
LSTM,128,2,32,0.001,1,64,11808.157544773978,64.12703742632763
GRU,128,16,4,0.001,1,64,8602.782241061072,56.523967656333646
LSTM,128,16,4,0.001,1,64,8603.282592999978,56.43484626023962
GRU,128,16,16,0.001,1,64,8588.587535619088,56.26415264992779
LSTM,128,16,16,0.001,1,64,8587.41504519651,56.28456020967863
GRU,128,16,32,0.001,1,64,8596.60234388941,56.27855326552463
LSTM,128,16,32,0.001,1,64,8595.952391427998,56.523217904133766
GRU,128,30,4,0.001,1,64,9677.055072556284,57.5687159926775
LSTM,128,30,4,0.001,1,64,9695.68384327501,57.137812404277604
GRU,128,30,16,0.001,1,64,9585.501702241767,57.60735495986903
LSTM,128,30,16,0.001,1,64,9558.166773125497,57.25950901135837
GRU,128,30,32,0.001,1,64,9569.559924905778,57.21433109187694
LSTM,128,30,32,0.001,1,64,9578.583493183272,57.431801684403766
