model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
GRU,32,2,4,0.001,1,64,11184.073927825957,62.696848998432195
LSTM,32,2,4,0.001,1,64,11226.465185939804,63.08207647431845
GRU,32,2,16,0.001,1,64,10895.920593365274,61.95585976121717
LSTM,32,2,16,0.001,1,64,10777.159648109458,61.652659892561324
GRU,32,2,32,0.001,1,64,10558.628182855286,61.033677715962
LSTM,32,2,32,0.001,1,64,10446.871879971533,60.41567111968741
GRU,32,8,4,0.001,1,64,8479.782604931097,54.80492050949665
LSTM,32,8,4,0.001,1,64,8463.80391089603,54.410925620836075
GRU,32,8,16,0.001,1,64,8343.740594835048,54.11014997802616
LSTM,32,8,16,0.001,1,64,8286.881019578983,54.21142143043826
GRU,32,8,32,0.001,1,64,8206.198056570722,53.79909188626572
LSTM,32,8,32,0.001,1,64,8187.719922938307,53.799011199339816
GRU,32,16,4,0.001,1,64,8235.940339733617,54.75079398090545
LSTM,32,16,4,0.001,1,64,8279.956504552762,55.31575733595963
GRU,32,16,16,0.001,1,64,8073.1295919174645,53.77900145406131
LSTM,32,16,16,0.001,1,64,7993.862763806056,53.67804981261641
GRU,32,16,32,0.001,1,64,8011.169442315548,53.49224835599345
LSTM,32,16,32,0.001,1,64,7926.706443953259,53.20608374019081
GRU,32,30,4,0.001,1,64,9050.515289761403,55.07999543265101
LSTM,32,30,4,0.001,1,64,9050.108883274685,55.34984843198949
GRU,32,30,16,0.001,1,64,8686.324909115463,53.39876148555601
LSTM,32,30,16,0.001,1,64,8479.41143472612,52.50733069456431
GRU,32,30,32,0.001,1,64,8395.456944372221,52.167122489615416
LSTM,32,30,32,0.001,1,64,8391.064607283337,52.192204183508636
GRU,64,2,4,0.001,1,64,11156.538665786236,62.9036311525298
LSTM,64,2,4,0.001,1,64,11144.839308845001,62.5091812106165
GRU,64,2,16,0.001,1,64,10875.338760037112,61.79009315604473
LSTM,64,2,16,0.001,1,64,10772.665722433174,61.41832383492094
GRU,64,2,32,0.001,1,64,10570.44072333751,60.71264716297408
LSTM,64,2,32,0.001,1,64,10631.633956322998,60.86640928396845
GRU,64,8,4,0.001,1,64,8472.038079990425,54.63055885552843
LSTM,64,8,4,0.001,1,64,8470.471087351629,54.76380602333965
GRU,64,8,16,0.001,1,64,8302.132180512379,53.94355784296061
LSTM,64,8,16,0.001,1,64,8306.36302245199,53.85392959170685
GRU,64,8,32,0.001,1,64,8200.88199399793,53.67503874379761
LSTM,64,8,32,0.001,1,64,8181.381435674402,53.607809793664785
GRU,64,16,4,0.001,1,64,8287.8487207798,55.25175831132408
LSTM,64,16,4,0.001,1,64,8228.598257313415,54.56074349446266
GRU,64,16,16,0.001,1,64,8087.3309388383295,54.388349832865615
LSTM,64,16,16,0.001,1,64,8038.22274958456,53.901131130439055
GRU,64,16,32,0.001,1,64,8011.188839235925,53.29857300588865
LSTM,64,16,32,0.001,1,64,7876.211270618643,53.316107613388596
GRU,64,30,4,0.001,1,64,8963.931934583312,54.84360196013602
LSTM,64,30,4,0.001,1,64,8940.968467052997,54.72427490282883
GRU,64,30,16,0.001,1,64,8638.618851711517,53.16709309055028
LSTM,64,30,16,0.001,1,64,8560.521919200464,52.51065400647394
GRU,64,30,32,0.001,1,64,8549.133350453414,52.34340596205668
LSTM,64,30,32,0.001,1,64,8447.963415432752,51.798084407235166
GRU,128,2,4,0.001,1,64,11124.434585381681,62.39750678603704
LSTM,128,2,4,0.001,1,64,11166.788306439968,62.71012106142717
GRU,128,2,16,0.001,1,64,11017.61385673904,62.21491385223495
LSTM,128,2,16,0.001,1,64,10754.29076990387,61.55458607228956
GRU,128,2,32,0.001,1,64,10650.847420900502,61.457398558960556
LSTM,128,2,32,0.001,1,64,10573.739826748113,61.01890671785733
GRU,128,8,4,0.001,1,64,8495.79648322714,54.549452727823734
LSTM,128,8,4,0.001,1,64,8466.932012237894,54.70584710527652
GRU,128,8,16,0.001,1,64,8314.266014664781,53.899952792896244
LSTM,128,8,16,0.001,1,64,8279.735763194174,53.79321531723414
GRU,128,8,32,0.001,1,64,8234.577755576267,53.66251070082511
LSTM,128,8,32,0.001,1,64,8199.474479102575,53.57589978493409
GRU,128,16,4,0.001,1,64,8270.051677930942,54.75021189785616
LSTM,128,16,4,0.001,1,64,8213.365214718282,54.52669483432593
GRU,128,16,16,0.001,1,64,8086.758542656473,53.97013614281512
LSTM,128,16,16,0.001,1,64,7985.279276172711,53.49898215054955
GRU,128,16,32,0.001,1,64,7947.030775868799,53.30404205649006
LSTM,128,16,32,0.001,1,64,7883.099192680452,52.96836844532086
GRU,128,30,4,0.001,1,64,9147.430851303274,55.09706566867011
LSTM,128,30,4,0.001,1,64,8932.55398917923,54.78839622036227
GRU,128,30,16,0.001,1,64,8560.489747403466,53.02871391265564
LSTM,128,30,16,0.001,1,64,8589.654456078166,53.11622556750447
GRU,128,30,32,0.001,1,64,8524.12061885695,52.8280706193291
LSTM,128,30,32,0.001,1,64,8422.36696931114,51.880312101587855
