transformer_num_layer,transformer_hidden_size,transformer_nhead,transformer_dropout,model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
1,16,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9409.199863032887,56.96008607594175
1,16,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9228.070987245896,55.669097049479944
1,16,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9378.34593208263,56.02331393725888
1,16,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9531.84487727677,56.20163625232968
1,16,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9238.836477102685,56.703760373591585
1,16,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9215.268727278866,55.6125267537637
1,16,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9503.681983139792,55.723876287757314
1,16,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9544.583483142122,57.76863381532148
1,16,4,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8915.217132598676,55.26482088980955
1,16,4,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9245.348585517228,56.00278356370093
1,16,4,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9336.449042035456,56.1393009684261
1,16,4,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9477.039248722103,57.13751054159086
1,16,8,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,8791.146552722734,54.21906850981439
1,16,8,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9329.701040806458,55.98728710497694
1,16,8,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9457.597715381218,57.66207140861848
1,16,8,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9673.317263822444,57.77923022423748
1,32,1,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9223.859947297058,56.82518798132844
1,32,1,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9924.001784026208,60.11574145874856
1,32,1,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9460.269666781274,57.02138177902148
1,32,1,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,10215.168981499448,59.77495190272845
1,32,2,0.0,Transformer,0.005,5,512_256_128_64_32,32,30,32,9131.851419789546,56.75140159582174
1,32,2,0.1,Transformer,0.005,5,512_256_128_64_32,32,30,32,9516.476797472618,58.04890070909601
1,32,2,0.2,Transformer,0.005,5,512_256_128_64_32,32,30,32,9505.606283780951,56.48641526067926
1,32,2,0.3,Transformer,0.005,5,512_256_128_64_32,32,30,32,9607.080125711322,56.62226397492047
