model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
GRU,32,2,4,0.001,1,64,9000.326661223426,55.13676920314207
LSTM,32,2,4,0.001,1,64,9015.152094807087,55.345671148544604
GRU,32,2,8,0.001,1,64,8847.600479074437,54.1836606715987
LSTM,32,2,8,0.001,1,64,8747.515697810466,53.87671107506861
GRU,32,2,16,0.001,1,64,8713.231923213043,53.35603109483917
LSTM,32,2,16,0.001,1,64,8640.023700461717,53.543591467861596
GRU,32,8,4,0.001,1,64,9061.585723967906,55.727912277988715
LSTM,32,8,4,0.001,1,64,8936.297067431127,54.83810003068291
GRU,32,8,8,0.001,1,64,8714.300574848578,53.759849932664466
LSTM,32,8,8,0.001,1,64,8744.769154294547,54.06574153555285
GRU,32,8,16,0.001,1,64,8610.340093469042,53.198959619603066
LSTM,32,8,16,0.001,1,64,8579.441017458601,52.62588138015659
GRU,32,16,4,0.001,1,64,8986.11019963553,55.215085993154815
LSTM,32,16,4,0.001,1,64,8951.81293778445,55.05962721235161
GRU,32,16,8,0.001,1,64,8825.088434738926,54.265392570008
LSTM,32,16,8,0.001,1,64,8780.558057057793,53.99667091159933
GRU,32,16,16,0.001,1,64,8581.224532732404,53.430767601150116
LSTM,32,16,16,0.001,1,64,8521.761776231948,52.8623233646863
GRU,32,30,4,0.001,1,64,8996.57597405949,54.9580709876663
LSTM,32,30,4,0.001,1,64,8933.680104862595,54.951111518146895
GRU,32,30,8,0.001,1,64,8821.074364661981,54.391847670931746
LSTM,32,30,8,0.001,1,64,8784.840690020086,54.18670492199401
GRU,32,30,16,0.001,1,64,8598.311815115938,52.79906592644148
LSTM,32,30,16,0.001,1,64,8571.95745540371,52.542387795885695
GRU,64,2,4,0.001,1,64,8957.242093976629,54.99719618745447
LSTM,64,2,4,0.001,1,64,8961.752619527524,54.831424816264736
GRU,64,2,8,0.001,1,64,8855.977484782079,54.33488509043438
LSTM,64,2,8,0.001,1,64,8799.537539349667,54.61833828373361
GRU,64,2,16,0.001,1,64,8652.78058660497,53.80208952941834
LSTM,64,2,16,0.001,1,64,8584.347720765603,52.76270302850148
GRU,64,8,4,0.001,1,64,8964.657280697396,54.731122417564904
LSTM,64,8,4,0.001,1,64,8917.8876314275,54.79040469619263
