model_type,batch_size,sequence_length,model_hidden_size,learning_rate,num_layers,fc_hidden_sizes,val_loss,val_mae
GRU,16,2,4,0.0005,1,64,11805.36820593027,64.0859144824458
LSTM,16,2,4,0.0005,1,64,11809.60660247674,63.906159422354065
GRU,16,2,8,0.0005,1,64,11807.186454589488,64.0666094262079
LSTM,16,2,8,0.0005,1,64,11808.588307409791,64.08645945940476
GRU,16,2,16,0.0005,1,64,11807.644565999277,63.929256455371274
LSTM,16,2,16,0.0005,1,64,11811.665259351206,64.08259207684658
GRU,16,16,4,0.0005,1,64,11806.447874876225,63.98452146762697
LSTM,16,16,4,0.0005,1,64,11808.43083521641,64.08689720700723
GRU,16,16,8,0.0005,1,64,11807.169144529635,64.2488619669326
LSTM,16,16,8,0.0005,1,64,11805.793127447741,64.1504030901361
GRU,16,16,16,0.0005,1,64,11810.66020808849,63.74043629684095
LSTM,16,16,16,0.0005,1,64,11810.109997174111,64.00241294471715
GRU,16,30,4,0.0005,1,64,11807.034435143894,64.05844623352382
LSTM,16,30,4,0.0005,1,64,11809.186331216935,63.92962242203046
GRU,16,30,8,0.0005,1,64,11810.99143441354,64.19823253539717
LSTM,16,30,8,0.0005,1,64,11808.685038589829,64.33426675884823
GRU,16,30,16,0.0005,1,64,11809.759211996337,63.807077044185476
LSTM,16,30,16,0.0005,1,64,11807.531156836967,63.967930965481976
GRU,16,2,4,0.005,1,64,11812.59626390354,64.09953557908607
LSTM,16,2,4,0.005,1,64,11809.731911095269,64.23702542561249
GRU,16,2,8,0.005,1,64,11811.539376734761,64.07427616118842
LSTM,16,2,8,0.005,1,64,11812.295806624144,64.39428803326479
GRU,16,2,16,0.005,1,64,11808.58072959443,64.3211134057119
LSTM,16,2,16,0.005,1,64,11808.983271689887,64.01363717055814
GRU,16,16,4,0.005,1,64,11815.709230305263,64.07790192545065
LSTM,16,16,4,0.005,1,64,11807.1176628439,64.01414337466262
GRU,16,16,8,0.005,1,64,11807.21513624457,64.2601717630757
LSTM,16,16,8,0.005,1,64,11811.872524781813,63.66235217636084
GRU,16,16,16,0.005,1,64,11811.565003446578,64.11557509450496
LSTM,16,16,16,0.005,1,64,11808.781230693192,64.21662279510144
GRU,16,30,4,0.005,1,64,11816.242214575119,64.39515208571574
LSTM,16,30,4,0.005,1,64,11809.962710144837,64.02238132287378
GRU,16,30,8,0.005,1,64,11814.03229060594,64.35703990702667
LSTM,16,30,8,0.005,1,64,11807.28571355412,64.09898831988212
GRU,16,30,16,0.005,1,64,11802.377226277327,64.23023353356028
LSTM,16,30,16,0.005,1,64,11814.526830161863,64.03310038854211
GRU,16,2,4,0.1,1,64,11991.368913552906,65.51921439629808
LSTM,16,2,4,0.1,1,64,11971.69791753367,66.14991024859039
GRU,16,2,8,0.1,1,64,11934.489920731483,65.76080143822415
LSTM,16,2,8,0.1,1,64,11877.098958392535,64.30986394689032
