model_type,learning_rate,num_layers,fc_hidden_sizes,model_hidden_size,sequence_length,batch_size,val_loss,val_mae
Transformer,0.005,5,512_256_128_64_32,32,30,32,9409.199863032889,56.96008607594175
Transformer,0.005,5,512_256_128_64_32,32,30,32,9228.070987245896,55.669097049479944
Transformer,0.005,5,512_256_128_64_32,32,30,32,9378.34593208263,56.023313937258884
Transformer,0.005,5,512_256_128_64_32,32,30,32,9531.84487727677,56.20163625232968
Transformer,0.005,5,512_256_128_64_32,32,30,32,9238.836477102685,56.703760373591585
Transformer,0.005,5,512_256_128_64_32,32,30,32,9215.268727278866,55.6125267537637
Transformer,0.005,5,512_256_128_64_32,32,30,32,9503.681983139793,55.723876287757314
Transformer,0.005,5,512_256_128_64_32,32,30,32,9544.583483142122,57.76863381532148
Transformer,0.005,5,512_256_128_64_32,32,30,32,8915.217132598676,55.26482088980955
Transformer,0.005,5,512_256_128_64_32,32,30,32,9245.348585517228,56.00278356370093
Transformer,0.005,5,512_256_128_64_32,32,30,32,9336.449042035456,56.1393009684261
Transformer,0.005,5,512_256_128_64_32,32,30,32,9477.039248722105,57.13751054159086
Transformer,0.005,5,512_256_128_64_32,32,30,32,8791.146552722734,54.21906850981439
Transformer,0.005,5,512_256_128_64_32,32,30,32,9329.701040806458,55.98728710497694
Transformer,0.005,5,512_256_128_64_32,32,30,32,9457.597715381218,57.66207140861848
Transformer,0.005,5,512_256_128_64_32,32,30,32,9673.317263822444,57.77923022423748
Transformer,0.005,5,512_256_128_64_32,32,30,32,9223.859947297058,56.82518798132844
Transformer,0.005,5,512_256_128_64_32,32,30,32,9924.001784026208,60.11574145874856
Transformer,0.005,5,512_256_128_64_32,32,30,32,9460.269666781274,57.02138177902148
Transformer,0.005,5,512_256_128_64_32,32,30,32,10215.168981499448,59.77495190272845
Transformer,0.005,5,512_256_128_64_32,32,30,32,9131.851419789546,56.75140159582174
Transformer,0.005,5,512_256_128_64_32,32,30,32,9516.476797472618,58.04890070909601
Transformer,0.005,5,512_256_128_64_32,32,30,32,9505.606283780951,56.48641526067926
Transformer,0.005,5,512_256_128_64_32,32,30,32,9607.080125711322,56.62226397492047
Transformer,0.005,5,512_256_128_64_32,32,30,32,8999.14770760054,55.78488510660371
Transformer,0.005,5,512_256_128_64_32,32,30,32,9262.832782784017,56.15737746029202
Transformer,0.005,5,512_256_128_64_32,32,30,32,9570.291154551833,56.17601938372108
Transformer,0.005,5,512_256_128_64_32,32,30,32,10043.874394135424,59.94187144145515
Transformer,0.005,5,512_256_128_64_32,32,30,32,8773.263329651254,54.64000636812661
Transformer,0.005,5,512_256_128_64_32,32,30,32,9541.752889522899,58.32556223812163
Transformer,0.005,5,512_256_128_64_32,32,30,32,9825.307958538102,57.83278880951475
Transformer,0.005,5,512_256_128_64_32,32,30,32,9914.172456416556,58.122852294161916
Transformer,0.005,5,512_256_128_64_32,32,30,32,9283.354050667935,56.62924730551149
Transformer,0.005,5,512_256_128_64_32,32,30,32,9814.195383030592,58.34340910618175
Transformer,0.005,5,512_256_128_64_32,32,30,32,10189.567356860734,60.6091357780834
Transformer,0.005,5,512_256_128_64_32,32,30,32,10725.70779321323,64.49852997074775
Transformer,0.005,5,512_256_128_64_32,32,30,32,9294.4151108543,56.68367698482981
Transformer,0.005,5,512_256_128_64_32,32,30,32,9594.059631917626,58.42679678623041
Transformer,0.005,5,512_256_128_64_32,32,30,32,9923.40237290329,58.82045578527422
Transformer,0.005,5,512_256_128_64_32,32,30,32,10677.63026510383,61.70399636406876
